addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme
1900,Hillsmere Lane,,247A,Staunton,VA,24401,38.18079352,-79.09208407,,
1900,Hillsmere Lane,,,Staunton,VA,24401,38.18112292,-79.09250753,,
541,Hilltop Drive,,,Staunton,VA,24401,38.13730112,-79.07750398,,
542,Hilltop Drive,,,Staunton,VA,24401,38.13746001,-79.07803213,,
543,Hilltop Drive,,,Staunton,VA,24401,38.137515,-79.0776741,,
544,Hilltop Drive,,,Staunton,VA,24401,38.13762477,-79.07814412,,
545,Hilltop Drive,,,Staunton,VA,24401,38.13772515,-79.07782975,,
548,Hilltop Drive,,,Staunton,VA,24401,38.13784275,-79.07825412,,
550,Hilltop Drive,,,Staunton,VA,24401,38.13811055,-79.07827791,,
551,Hilltop Drive,,,Staunton,VA,24401,38.13803636,-79.07791403,,
553,Hilltop Drive,,,Staunton,VA,24401,38.13832006,-79.0777984,,
554,Hilltop Drive,,,Staunton,VA,24401,38.1384192,-79.07811436,,
555,Hilltop Drive,,,Staunton,VA,24401,38.13855631,-79.07767277,,
557,Hilltop Drive,,,Staunton,VA,24401,38.13876957,-79.07758304,,
559,Hilltop Drive,,,Staunton,VA,24401,38.13910407,-79.07757127,,
561,Hilltop Drive,,,Staunton,VA,24401,38.13927283,-79.07764239,,
563,Hilltop Drive,,,Staunton,VA,24401,38.13960802,-79.07749108,,
565,Hilltop Drive,,,Staunton,VA,24401,38.13974982,-79.07801671,,
567,Hilltop Drive,,,Staunton,VA,24401,38.13976846,-79.07847158,,
568,Hilltop Drive,,,Staunton,VA,24401,38.1386935,-79.07797941,,
569,Hilltop Drive,,,Staunton,VA,24401,38.13944277,-79.07862296,,
570,Hilltop Drive,,,Staunton,VA,24401,38.13917592,-79.07802416,,
571,Hilltop Drive,,,Staunton,VA,24401,38.13924372,-79.07891009,,
572,Hilltop Drive,,,Staunton,VA,24401,38.13912612,-79.0784857,,
573,Hilltop Drive,,,Staunton,VA,24401,38.13904315,-79.07912021,,
574,Hilltop Drive,,,Staunton,VA,24401,38.1389331,-79.07870791,,
575,Hilltop Drive,,,Staunton,VA,24401,38.13882378,-79.07929168,,
576,Hilltop Drive,,,Staunton,VA,24401,38.13876136,-79.0788533,,
577,Hilltop Drive,,,Staunton,VA,24401,38.13854893,-79.07953729,,
578,Hilltop Drive,,,Staunton,VA,24401,38.1385533,-79.07904171,,
579,Hilltop Drive,,,Staunton,VA,24401,38.13827625,-79.07972759,,
580,Hilltop Drive,,,Staunton,VA,24401,38.13835877,-79.07918451,,
581,Hilltop Drive,,,Staunton,VA,24401,38.13795127,-79.07973702,,
582,Hilltop Drive,,,Staunton,VA,24401,38.13810936,-79.07928116,,
583,Hilltop Drive,,,Staunton,VA,24401,38.13766221,-79.07978282,,
584,Hilltop Drive,,,Staunton,VA,24401,38.13787915,-79.07933947,,
585,Hilltop Drive,,,Staunton,VA,24401,38.13741208,-79.07964369,,
586,Hilltop Drive,,,Staunton,VA,24401,38.13764364,-79.07931594,,
587,Hilltop Drive,,,Staunton,VA,24401,38.13719609,-79.07951686,,
588,Hilltop Drive,,,Staunton,VA,24401,38.13735137,-79.07924383,,
589,Hilltop Drive,,,Staunton,VA,24401,38.1369819,-79.07941169,,
590,Hilltop Drive,,,Staunton,VA,24401,38.13713346,-79.0791218,,
591,Hilltop Drive,,,Staunton,VA,24401,38.13674342,-79.07922213,,
592,Hilltop Drive,,,Staunton,VA,24401,38.13695358,-79.07899285,,
593,Hilltop Drive,,,Staunton,VA,24401,38.13653712,-79.07905689,,
595,Hilltop Drive,,,Staunton,VA,24401,38.1363329,-79.07885557,,
597,Hilltop Drive,,,Staunton,VA,24401,38.13617427,-79.07865703,,
601,Hilltop Drive,,,Staunton,VA,24401,38.13547983,-79.07768675,,
602,Hilltop Drive,,,Staunton,VA,24401,38.13534253,-79.07701925,,
603,Hilltop Drive,,,Staunton,VA,24401,38.1353345,-79.07748832,,
604,Hilltop Drive,,,Staunton,VA,24401,38.13521619,-79.07682337,,
605,Hilltop Drive,,,Staunton,VA,24401,38.13518729,-79.07728746,,
606,Hilltop Drive,,,Staunton,VA,24401,38.13508781,-79.07665635,,
607,Hilltop Drive,,,Staunton,VA,24401,38.13504204,-79.07707219,,
608,Hilltop Drive,,,Staunton,VA,24401,38.13493881,-79.07643143,,
609,Hilltop Drive,,,Staunton,VA,24401,38.13489866,-79.07686415,,
610,Hilltop Drive,,,Staunton,VA,24401,38.13478018,-79.07623289,,
611,Hilltop Drive,,,Staunton,VA,24401,38.13474396,-79.07663918,,
612,Hilltop Drive,,,Staunton,VA,24401,38.13466693,-79.07607802,,
613,Hilltop Drive,,,Staunton,VA,24401,38.13458532,-79.07644305,,
614,Hilltop Drive,,,Staunton,VA,24401,38.1345293,-79.07586041,,
615,Hilltop Drive,,,Staunton,VA,24401,38.13441741,-79.07619873,,
240,Holiday Court,,1,Staunton,VA,24401,38.15258735,-79.07453419,,
240,Holiday Court,,2,Staunton,VA,24401,38.15254762,-79.07460593,,
240,Holiday Court,,3,Staunton,VA,24401,38.15258329,-79.07470942,,
240,Holiday Court,,4,Staunton,VA,24401,38.15254946,-79.0747672,,
240,Holiday Court,,5,Staunton,VA,24401,38.15257784,-79.07486698,,
240,Holiday Court,,6,Staunton,VA,24401,38.15254148,-79.07496634,,
240,Holiday Court,,A,Staunton,VA,24401,38.1525474,-79.07424749,,
240,Holiday Court,,A1,Staunton,VA,24401,38.15259012,-79.074215,,
240,Holiday Court,,A2,Staunton,VA,24401,38.15258896,-79.07428889,,
240,Holiday Court,,B,Staunton,VA,24401,38.15259062,-79.07439661,,
240,Holiday Court,,B1,Staunton,VA,24401,38.1525546,-79.07433845,,
