addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme
922,Gordon Street,,,Staunton,VA,24401,38.13436327,-79.08050159,,
924,Gordon Street,,,Staunton,VA,24401,38.13447753,-79.0804052,,
288,Grandon Road,,,Staunton,VA,24401,38.13328284,-79.065974,,
289,Grandon Road,,,Staunton,VA,24401,38.13304545,-79.06552564,,
290,Grandon Road,,,Staunton,VA,24401,38.1330041,-79.06586695,,
291,Grandon Road,,,Staunton,VA,24401,38.13282122,-79.06553143,,
292,Grandon Road,,,Staunton,VA,24401,38.13279179,-79.06587031,,
293,Grandon Road,,,Staunton,VA,24401,38.13261874,-79.06555246,,
294,Grandon Road,,,Staunton,VA,24401,38.13259527,-79.06588888,,
295,Grandon Road,,,Staunton,VA,24401,38.13238844,-79.06558081,,
296,Grandon Road,,,Staunton,VA,24401,38.1323749,-79.0659173,,
297,Grandon Road,,,Staunton,VA,24401,38.13220581,-79.06560199,,
298,Grandon Road,,,Staunton,VA,24401,38.13219019,-79.06595605,,
353,Grandon Road,,,Staunton,VA,24401,38.13195425,-79.06561073,,
355,Grandon Road,,,Staunton,VA,24401,38.13161677,-79.06564829,,
357,Grandon Road,,,Staunton,VA,24401,38.13138449,-79.06567662,,
358,Grandon Road,,,Staunton,VA,24401,38.13177192,-79.06597605,,
361,Grandon Road,,,Staunton,VA,24401,38.13120387,-79.06569029,,
362,Grandon Road,,,Staunton,VA,24401,38.13149598,-79.06600655,,
366,Grandon Road,,,Staunton,VA,24401,38.13123399,-79.0660246,,
368,Grandon Road,,,Staunton,VA,24401,38.13098001,-79.06602764,,
22,Grasty Street,,,Staunton,VA,24401,38.15960148,-79.07042974,,
8,Gray Avenue,,,Staunton,VA,24401,38.15573915,-79.0968768,,
10,Gray Avenue,,,Staunton,VA,24401,38.15570718,-79.09671801,,
101,Gray Avenue,,A,Staunton,VA,24401,38.15586279,-79.09646574,,
101,Gray Avenue,,B,Staunton,VA,24401,38.15592859,-79.09643969,,
101,Gray Avenue,,,Staunton,VA,24401,38.15587163,-79.09636374,,
103,Gray Avenue,,,Staunton,VA,24401,38.15601386,-79.09634738,,
105,Gray Avenue,,,Staunton,VA,24401,38.1561521,-79.09632201,,
107,Gray Avenue,,,Staunton,VA,24401,38.15627533,-79.09628698,,
111,Gray Avenue,,,Staunton,VA,24401,38.15654866,-79.09619807,,
112,Gray Avenue,,,Staunton,VA,24401,38.15662362,-79.09643402,,
115,Gray Avenue,,,Staunton,VA,24401,38.15683289,-79.096105,,
200,Gray Avenue,,A,Staunton,VA,24401,38.15718371,-79.09646554,,
200,Gray Avenue,,B,Staunton,VA,24401,38.15717293,-79.0963739,,
200,Gray Avenue,,C,Staunton,VA,24401,38.15734721,-79.09641801,,
200,Gray Avenue,,D,Staunton,VA,24401,38.15733028,-79.0963318,,
200,Gray Avenue,,,Staunton,VA,24401,38.15726552,-79.09639401,,
204,Gray Avenue,,A,Staunton,VA,24401,38.15755903,-79.09635866,,
204,Gray Avenue,,B,Staunton,VA,24401,38.15754498,-79.09626754,,
204,Gray Avenue,,C,Staunton,VA,24401,38.15772075,-79.09631045,,
204,Gray Avenue,,D,Staunton,VA,24401,38.157705,-79.09621982,,
204,Gray Avenue,,,Staunton,VA,24401,38.15763441,-79.09628787,,
205,Gray Avenue,,,Staunton,VA,24401,38.15743931,-79.09595929,,
207,Gray Avenue,,,Staunton,VA,24401,38.15760225,-79.09591289,,
307,Gray Avenue,,,Staunton,VA,24401,38.15831855,-79.0959037,,
308,Gray Avenue,,,Staunton,VA,24401,38.15838092,-79.09612283,,
309,Gray Avenue,,,Staunton,VA,24401,38.15842803,-79.09583424,,
310,Gray Avenue,,,Staunton,VA,24401,38.15850812,-79.09608116,,
311,Gray Avenue,,,Staunton,VA,24401,38.15859902,-79.09576529,,
312,Gray Avenue,,2-Jan,Staunton,VA,24401,38.15871709,-79.09619732,,
312,Gray Avenue,,,Staunton,VA,24401,38.15862752,-79.09601178,,
314,Gray Avenue,,,Staunton,VA,24401,38.15874679,-79.09596753,,
315,Gray Avenue,,,Staunton,VA,24401,38.15879332,-79.09560111,,
316,Gray Avenue,,,Staunton,VA,24401,38.15889969,-79.09592355,,
317,Gray Avenue,,,Staunton,VA,24401,38.15890581,-79.09560566,,
318,Gray Avenue,,,Staunton,VA,24401,38.15899349,-79.09583638,,
319,Gray Avenue,,,Staunton,VA,24401,38.15908435,-79.09552804,,
321,Gray Avenue,,,Staunton,VA,24401,38.15920766,-79.09547126,,
322,Gray Avenue,,,Staunton,VA,24401,38.15926589,-79.09572302,,
324,Gray Avenue,,,Staunton,VA,24401,38.15941508,-79.09564886,,
325,Gray Avenue,,,Staunton,VA,24401,38.15941461,-79.09521203,,
326,Gray Avenue,,,Staunton,VA,24401,38.15953847,-79.09557449,,
327,Gray Avenue,,,Staunton,VA,24401,38.15950448,-79.09516785,,
328,Gray Avenue,,,Staunton,VA,24401,38.15966698,-79.09554366,,
329,Gray Avenue,,,Staunton,VA,24401,38.15964656,-79.09527102,,
330,Gray Avenue,,,Staunton,VA,24401,38.15983946,-79.09559059,,
331,Gray Avenue,,,Staunton,VA,24401,38.15977629,-79.09522899,,
332,Gray Avenue,,,Staunton,VA,24401,38.15995111,-79.09547585,,
333,Gray Avenue,,,Staunton,VA,24401,38.15997796,-79.09512003,,
334,Gray Avenue,,,Staunton,VA,24401,38.16007911,-79.09531062,,
335,Gray Avenue,,,Staunton,VA,24401,38.16012063,-79.09504699,,
336,Gray Avenue,,,Staunton,VA,24401,38.16022665,-79.09543002,,
338,Gray Avenue,,,Staunton,VA,24401,38.16033124,-79.09527453,,
700,Grayson Street,,,Staunton,VA,24401,38.13581549,-79.08480678,,
703,Grayson Street,,,Staunton,VA,24401,38.1359229,-79.08459071,,
705,Grayson Street,,,Staunton,VA,24401,38.13584398,-79.084449,,
707,Grayson Street,,,Staunton,VA,24401,38.13575166,-79.08433097,,
709,Grayson Street,,,Staunton,VA,24401,38.13561938,-79.08415005,,
715,Grayson Street,,,Staunton,VA,24401,38.13531081,-79.08368183,,
1,Green Hills Drive,,,Verona,VA,24482,38.18985728,-79.02385849,,
10,Green Hills Drive,,,Verona,VA,24482,38.19096979,-79.02361547,,
11,Green Hills Drive,,1,Verona,VA,24482,38.19010255,-79.02420511,,
11,Green Hills Drive,,2,Verona,VA,24482,38.19032308,-79.02403968,,
11,Green Hills Drive,,3,Verona,VA,24482,38.190451,-79.0242173,,
11,Green Hills Drive,,4,Verona,VA,24482,38.19023907,-79.02416744,,
11,Green Hills Drive,,5,Verona,VA,24482,38.19023135,-79.02402936,,
11,Green Hills Drive,,6,Verona,VA,24482,38.19033846,-79.02427749,,
11,Green Hills Drive,,,Verona,VA,24482,38.19030348,-79.02442161,,
