addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme
29,116th Regimental Road,,,Staunton,VA,24401,38.15978312,-79.08208947,,
101,116th Regimental Road,,,Staunton,VA,24401,38.15977236,-79.08183438,,
204,116th Regimental Road,,,Staunton,VA,24401,38.15856457,-79.08300982,,
206,116th Regimental Road,,,Staunton,VA,24401,38.15879638,-79.08316025,,
229,116th Regimental Road,,,Staunton,VA,24401,38.15861665,-79.08446792,,
250,116th Regimental Road,,,Staunton,VA,24401,38.15803061,-79.08339982,,
300,116th Regimental Road,,,Staunton,VA,24401,38.15703845,-79.08362077,,
301,116th Regimental Road,,,Staunton,VA,24401,38.15848122,-79.08076121,,
350,116th Regimental Road,,,Staunton,VA,24401,38.1565195,-79.0850426,,
500,A Street,,,Staunton,VA,24401,38.16023218,-79.09104827,,
502,A Street,,,Staunton,VA,24401,38.16031667,-79.09096643,,
504,A Street,,,Staunton,VA,24401,38.16040681,-79.09088825,,
506,A Street,,,Staunton,VA,24401,38.16049576,-79.0907965,,
508,A Street,,,Staunton,VA,24401,38.16057439,-79.09070055,,
510,A Street,,,Staunton,VA,24401,38.16066213,-79.09060382,,
511,A Street,,,Staunton,VA,24401,38.16043248,-79.09053349,,
512,A Street,,,Staunton,VA,24401,38.16075238,-79.0905189,,
513,A Street,,,Staunton,VA,24401,38.16060457,-79.09037339,,
514,A Street,,,Staunton,VA,24401,38.16086846,-79.09045393,,
515,A Street,,,Staunton,VA,24401,38.16071049,-79.09014961,,
516,A Street,,,Staunton,VA,24401,38.16095017,-79.09038187,,
517,A Street,,,Staunton,VA,24401,38.16084228,-79.08995472,,
518,A Street,,,Staunton,VA,24401,38.16102878,-79.09029362,,
520,A Street,,,Staunton,VA,24401,38.16111385,-79.09018926,,
522,A Street,,,Staunton,VA,24401,38.1612373,-79.09006501,,
523,A Street,,,Staunton,VA,24401,38.161092,-79.08978099,,
524,A Street,,,Staunton,VA,24401,38.16138146,-79.08994699,,
526,A Street,,,Staunton,VA,24401,38.16146033,-79.08980621,,
527,A Street,,,Staunton,VA,24401,38.16131956,-79.08957072,,
531,A Street,,,Staunton,VA,24401,38.16160282,-79.08938918,,
601,A Street,,,Staunton,VA,24401,38.16190883,-79.08912297,,
603,A Street,,,Staunton,VA,24401,38.16200114,-79.08892876,,
604,A Street,,,Staunton,VA,24401,38.16203422,-79.089325,,
606,A Street,,,Staunton,VA,24401,38.16217266,-79.08918168,,
607,A Street,,,Staunton,VA,24401,38.1621913,-79.08886128,,
608,A Street,,,Staunton,VA,24401,38.16232862,-79.08904287,,
610,A Street,,,Staunton,VA,24401,38.16245476,-79.08891191,,
611,A Street,,,Staunton,VA,24401,38.16239444,-79.08864474,,
612,A Street,,,Staunton,VA,24401,38.16260007,-79.08877571,,
614,A Street,,,Staunton,VA,24401,38.16274105,-79.08865563,,
615,A Street,,,Staunton,VA,24401,38.16256965,-79.08848454,,
616,A Street,,,Staunton,VA,24401,38.16292342,-79.08866473,,
617,A Street,,,Staunton,VA,24401,38.16272781,-79.08832959,,
618,A Street,,,Staunton,VA,24401,38.16290587,-79.08844686,,
619,A Street,,,Staunton,VA,24401,38.16292658,-79.08813725,,
620,A Street,,,Staunton,VA,24401,38.16310298,-79.08849513,,
622,A Street,,,Staunton,VA,24401,38.16322181,-79.08821507,,
625,A Street,,,Staunton,VA,24401,38.16309741,-79.08800126,,
627,A Street,,,Staunton,VA,24401,38.16327092,-79.08775484,,
